Sampling time,Reactor Temperature,Jacket Temperature,Heater current,Coolant flowrate,,,,,,,,,,,,,
79.5,45.24176677,38.23208043,20,8,,,,,,,,,,,,,
80,46.14326058,37.54635999,20,8,,,,,,,,,,,,,
80.5,46.14326058,37.34318356,20,8,,,,,,,,,,,,,
81,46.70280847,37.29238945,20,8,,,,,,,,,,,,,
81.5,46.64063648,37.87652168,20,8,,,,,,,,,,,,,
82,46.11217459,37.36858061,20,8,,,,,,,,,,,,,
82.5,46.11217459,37.52096293,20,8,,,,,,,,,,,,,
83,46.64063648,36.47968374,20,8,,,,,,,,,,,,,
83.5,44.99307883,36.80984544,20,8,,,,,,,,,,,,,
84,46.14326058,37.39397767,20,8,,,,,,,,,,,,,
84.5,46.14326058,36.83524249,20,8,,,,,,,,,,,,,
85,46.11217459,38.05430106,20,8,,,,,,,,,,,,,
85.5,46.11217459,37.29238945,20,8,,,,,,,,,,,,,
86,45.30393876,37.19080124,20,8,,,,,,,,,,,,,
86.5,46.14326058,37.59715409,20,8,,,,,,,,,,,,,
87,46.39194853,37.39397767,20,8,,,,,,,,,,,,,
87.5,46.0810886,37.36858061,20,8,,,,,,,,,,,,,
88,45.70805668,37.2669924,20,8,,,,,,,,,,,,,
88.5,46.79606645,37.39397767,20,8,,,,,,,,,,,,,
89,46.14326058,37.29238945,20,8,,,,,,,,,,,,,
89.5,46.39194853,37.2669924,20,8,,,,,,,,,,,,,
90,46.26760456,37.29238945,20,8,,,,,,,,,,,,,
90.5,46.36086254,36.83524249,20,8,,,,,,,,,,,,,
91,46.23651856,38.07969811,20,8,,,,,,,,,,,,,
91.5,46.92041042,37.34318356,20,8,,,,,,,,,,,,,
92,46.20543257,36.80984544,20,8,,,,,,,,,,,,,
92.5,46.32977655,37.34318356,20,8,,,,,,,,,,,,,
93,46.5473785,37.2669924,20,8,,,,,,,,,,,,,
93.5,46.32977655,37.29238945,20,8,,,,,,,,,,,,,
94,46.26760456,37.2669924,20,8,,,,,,,,,,,,,
94.5,46.45412052,37.08921302,20,8,,,,,,,,,,,,,
95,47.66647427,38.20668338,20,8,,,,,,,,,,,,,
95.5,46.26760456,37.34318356,20,8,,,,,,,,,,,,,
96,46.36086254,37.39397767,20,8,,,,,,,,,,,,,
96.5,46.14326058,37.62255115,20,8,,,,,,,,,,,,,
97,46.79606645,36.80984544,20,8,,,,,,,,,,,,,
97.5,47.4799583,38.3590657,20,8,,,,,,,,,,,,,
98,46.79606645,37.39397767,20,8,,,,,,,,,,,,,
98.5,45.70805668,36.9368307,20,8,,,,,,,,,,,,,
99,47.26235635,37.2669924,20,8,,,,,,,,,,,,,
99.5,46.51629251,37.6479482,20,8,,,,,,,,,,,,,
100,46.45412052,37.39397767,20,8,,,,,,,,,,,,,
100.5,46.39194853,37.19080124,20,8,,,,,,,,,,,,,
101,46.70280847,37.54635999,20,8,,,,,,,,,,,,,
101.5,46.70280847,36.75905133,20,8,,,,,,,,,,,,,
102,46.76498045,37.36858061,20,8,,,,,,,,,,,,,
102.5,46.67172247,37.54635999,20,8,,,,,,,,,,,,,
103,46.45412052,37.69874231,20,8,,,,,,,,,,,,,
